index,value
1/1/1956,1254
2/1/1956,1290
3/1/1956,1379
4/1/1956,1346
5/1/1956,1535
6/1/1956,1555
7/1/1956,1655
8/1/1956,1651
9/1/1956,1500
10/1/1956,1538
11/1/1956,1486
12/1/1956,1394
1/1/1957,1409
2/1/1957,1387
3/1/1957,1543
4/1/1957,1502
5/1/1957,1693
6/1/1957,1616
7/1/1957,1841
8/1/1957,1787
9/1/1957,1631
10/1/1957,1649
11/1/1957,1586
12/1/1957,1500
1/1/1958,1497
2/1/1958,1463
3/1/1958,1648
4/1/1958,1595
5/1/1958,1777
6/1/1958,1824
7/1/1958,1994
8/1/1958,1835
9/1/1958,1787
10/1/1958,1699
11/1/1958,1633
12/1/1958,1645
1/1/1959,1597
2/1/1959,1577
3/1/1959,1709
4/1/1959,1756
5/1/1959,1936
6/1/1959,2052
7/1/1959,2105
8/1/1959,2016
9/1/1959,1914
10/1/1959,1925
11/1/1959,1824
12/1/1959,1765
1/1/1960,1721
2/1/1960,1752
3/1/1960,1914
4/1/1960,1857
5/1/1960,2159
6/1/1960,2195
7/1/1960,2287
8/1/1960,2276
9/1/1960,2096
10/1/1960,2055
11/1/1960,2004
12/1/1960,1924
1/1/1961,1851
2/1/1961,1839
3/1/1961,2019
4/1/1961,1937
5/1/1961,2270
6/1/1961,2251
7/1/1961,2382
8/1/1961,2364
9/1/1961,2129
10/1/1961,2110
11/1/1961,2072
12/1/1961,1980
1/1/1962,1995
2/1/1962,1932
3/1/1962,2171
4/1/1962,2162
5/1/1962,2489
6/1/1962,2424
7/1/1962,2641
8/1/1962,2630
9/1/1962,2324
10/1/1962,2412
11/1/1962,2284
12/1/1962,2186
1/1/1963,2184
2/1/1963,2144
3/1/1963,2379
4/1/1963,2383
5/1/1963,2717
6/1/1963,2774
7/1/1963,3051
8/1/1963,2891
9/1/1963,2613
10/1/1963,2600
11/1/1963,2493
12/1/1963,2410
1/1/1964,2390
2/1/1964,2463
3/1/1964,2616
4/1/1964,2734
5/1/1964,2970
6/1/1964,3125
7/1/1964,3342
8/1/1964,3207
9/1/1964,2964
10/1/1964,2919
11/1/1964,2764
12/1/1964,2732
1/1/1965,2622
2/1/1965,2698
3/1/1965,2950
4/1/1965,2895
5/1/1965,3200
6/1/1965,3408
7/1/1965,3679
8/1/1965,3473
9/1/1965,3154
10/1/1965,3107
11/1/1965,3052
12/1/1965,2918
1/1/1966,2786
2/1/1966,2739
3/1/1966,3125
4/1/1966,3033
5/1/1966,3486
6/1/1966,3661
7/1/1966,3927
8/1/1966,3851
9/1/1966,3456
10/1/1966,3390
11/1/1966,3280
12/1/1966,3166
1/1/1967,3080
2/1/1967,3069
3/1/1967,3340
4/1/1967,3310
5/1/1967,3798
6/1/1967,3883
7/1/1967,4191
8/1/1967,4213
9/1/1967,3766
10/1/1967,3628
11/1/1967,3520
12/1/1967,3322
